,"('Indicador global de la actividad económica. Total (IGAE)\xa0Base 2013 Serie original',)","('Remesas Familiares Total',)","('Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio',)","('Indice de volumen de la inversión fija bruta Total',)","('IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l',)","(' Cuenta corriente\xa0(I - II)',)",RNN cuenta corriente,LSTM cuenta corriente
2024-03-31 00:00:00,115.43371190893725,7028.615448032241,20.04074174271908,92.5895082038196,127.73630309179505,11166.948834103308,4724.2431640625,4915.63623046875
2024-04-30 00:00:00,110.3298733102745,6681.596126859392,20.04074174271908,86.98117790131928,127.73307660614415,7506.01883799901,3650.388916015625,4786.32568359375
2024-05-31 00:00:00,112.60336028394721,7228.63537279619,20.04074174271908,86.77769273123253,127.86882064546066,7506.01883799901,1186.03271484375,3981.095703125
2024-06-30 00:00:00,113.96710818463818,7213.7724589672425,20.04074174271908,90.04217172595025,128.2741606484964,7506.01883799901,186.3895721435547,2518.385498046875
2024-07-31 00:00:00,114.42566266992343,7253.3426132936265,20.04074174271908,91.33893898508356,128.79953062411198,9255.621423604647,188.72674560546875,1374.125244140625
2024-08-31 00:00:00,114.76995931116696,7363.144562814917,20.04074174271908,92.65292035783217,129.21957123832078,9255.621423604647,5.703524112701416,1.0194857120513916
2024-09-30 00:00:00,113.11797299435628,7290.053973225617,20.04074174271908,92.4103120532085,129.6557221176721,9255.621423604647,329.5869445800781,1443.5069580078125
2024-10-31 00:00:00,117.22059828959752,7440.055409536416,20.04074174271908,94.20957724478525,130.28344129914143,9590.184286525293,1078.2161865234375,4371.32763671875
2024-11-30 00:00:00,118.34532548299804,7257.617708458563,20.04074174271908,95.7780933582317,130.9489048391809,9590.184286525293,1994.8094482421875,4656.97900390625
2024-12-31 00:00:00,117.19137510518219,7556.658503472055,20.04074174271908,97.08931134644105,131.53397042405675,9590.184286525293,3354.20654296875,4799.96142578125
2025-01-31 00:00:00,114.93945550070974,7105.767229943191,20.04074174271908,90.87845903501278,132.2107356566979,11331.45401393426,4025.95751953125,4895.0849609375
