,IGAE,Remesas,USDMXN,Inversión fija bruta,Inflación MX,Ingresos tributarios MX
01/04/08,86.8041966,2184.6854,10.5154,95.34,0.045485434,384608.5
01/05/08,85.47536425,2371.6245,10.4352,92.41,0.049475637,458895.5
01/06/08,85.47723591,2264.5868,10.3292,92.23,0.052554617,536923.6
01/07/08,85.63099642,2183.1569,10.2155,99.91,0.053943937,611430.3
01/08/08,83.0825318,2097.565,10.1095,91.6,0.055729369,680482.1
01/09/08,84.12038202,2113.8022,10.6437,90.57,0.054734047,748940.2
01/10/08,86.63157541,2637.7129,12.6314,96.04,0.057799331,827687.4
01/11/08,82.90389772,1752.1841,13.114,93.69,0.062328572,906117.8
01/12/08,83.15559498,1781.9097,13.4226,96.53,0.065281439,994552.3
01/01/09,76.01922141,1572.9751,13.8921,78.39,0.062824018,123472.8
01/02/09,73.6504302,1810.7913,14.5966,75.26,0.06201343,221002.2
01/03/09,78.41828646,2115.1062,14.6695,78.89,0.060437225,332022.6
01/04/09,76.25661727,1794.7984,13.4367,77.83,0.061732736,428376.8
01/05/09,76.8034584,1905.4983,13.1621,76.9,0.059785244,509536.1
01/06/09,79.08979892,1934.0212,13.3418,79.59,0.057361182,608248.2
01/07/09,80.18098851,1850.2274,13.3654,85.14,0.054365374,696798.4
01/08/09,78.07160987,1799.4038,13.008,79.72,0.050819596,783027.1
01/09/09,80.06396674,1747.2127,13.4212,81.26,0.048942579,867196.9
01/10/09,82.34467657,1695.9575,13.2257,85.65,0.044994976,952572.5
01/11/09,82.19664555,1510.8202,13.1094,85.27,0.038610068,1035992.8
01/12/09,83.29214174,1569.5206,12.8631,94.71,0.035735382,1129552.6
01/01/10,77.81828716,1323.8241,12.8019,79.97,0.044573404,143806.7
01/02/10,77.04268066,1553.4585,12.9424,77.26,0.048300552,242970.4
01/03/10,83.84850899,1954.8462,12.5737,84.85,0.049704006,353773.7
01/04/10,82.2185916,1794.7704,12.2302,84.61,0.042709778,458810.2
01/05/10,82.73248743,2146.2064,12.7428,81.58,0.039166395,549474
01/06/10,84.09731458,1894.8869,12.7193,84.01,0.036931503,650176.6
01/07/10,83.78047607,1874.4402,12.8189,86.14,0.036360029,747902.9
01/08/10,82.85989146,1957.7357,12.7695,85.2,0.036757967,849009
01/09/10,83.53093434,1718.9603,12.7997,85.98,0.036991022,949375.3
01/10/10,84.51573882,1731.0322,12.4374,91.56,0.040245367,1050653.8
01/11/10,86.26721094,1631.8941,12.3391,94.9,0.043168798,1145083.6
01/12/10,86.36007392,1721.827,12.3885,102.27,0.044015847,1260425
01/01/11,81.06019738,1403.1694,12.1258,85.72,0.037820367,151963.9
01/02/11,80.11623887,1651.0566,12.0703,81.96,0.035723301,249812.9
01/03/11,87.17415325,2055.9125,11.9992,87.07,0.030395079,368722.1
01/04/11,82.95731837,1880.8948,11.7184,86.27,0.033606675,473996
01/05/11,86.03863847,2168.5078,11.6533,88.79,0.03249288,568972
01/06/11,86.87506384,2022.3112,11.806,93.3,0.032764687,664768.3
01/07/11,86.13066363,1906.7078,11.6726,95.45,0.035471627,760806.1
01/08/11,87.28959258,2143.8956,12.2319,97.39,0.034236908,854275.3
01/09/11,86.72919627,2085.9703,13.0445,93.4,0.031367742,960038.6
01/10/11,87.54680252,1912.6401,13.435,100.26,0.031956473,1065135.2
01/11/11,90.78623637,1785.8739,13.6993,105.57,0.034826944,1170648.2
01/12/11,89.20669629,1786.0316,13.7689,112.69,0.038187569,1294054.1
01/01/12,85.35722355,1506.3264,13.4178,89.93,0.040467732,142789.9
01/02/12,85.29623705,1788.2346,12.7831,91.71,0.03868634,248083.8
01/03/12,90.11975024,2091.6655,12.7567,94.06,0.03729278,354794.4
01/04/12,86.67072143,2031.5033,13.0697,93.75,0.034120791,464972.2
01/05/12,90.12591177,2342.5053,13.6634,95.96,0.038512285,548393.4
