,ARIMA sin X,ARIMA con X
2023-11-01,101.39844974820514,98.92968915302718
2023-12-01,100.33006793154468,98.43594920293805
2024-01-01,96.85021964845743,97.93281540274677
2024-02-01,95.0672208460196,96.55794193427482
2024-03-01,99.96575109301351,98.76005473212138
2024-04-01,97.44360838903516,95.37221153517083
2024-05-01,99.735015422305,95.64516187778466
2024-06-01,99.83460505882431,96.43565232548033
2024-07-01,99.42294099536382,96.38299514825036
2024-08-01,99.5021967369705,96.44781227115826
2024-09-01,98.58571346350111,96.0712309126717
2024-10-01,100.91788513739837,97.16161772494831
2024-11-01,102.14083249881485,97.7307579132299
2024-12-01,101.16100803598644,97.31325633009823
2025-01-01,98.12768762215329,97.58435610708901
2025-02-01,96.73921692768656,96.39545905836276
2025-03-01,100.03293873682757,97.92412317936032
2025-04-01,96.05991539741842,94.91051659770625
2025-05-01,97.7350013152688,94.93232204139383
2025-06-01,99.12934084203772,95.5096354403641
2025-07-01,99.35409123183841,95.46008805803194
2025-08-01,99.53406502235036,95.50407783825412
2025-09-01,98.89904403038713,95.07417462132761
2025-10-01,101.38597384089586,95.95654167296519
