,Indicador global de la actividad económica. Total (IGAE) Base 2013 Serie original,Remesas Familiares Total,Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio,Indice de volumen de la inversión fija bruta Total,IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l
2021-01-31,4.7128250883253475,8.391629194989711,2.997767288635687,4.479394859810272,4.725699926893235
2021-02-28,4.712223471648646,8.395139306279015,2.997767288635687,4.496508361573709,4.729969880304754
2021-03-31,4.715973199029681,8.411546733968024,2.997767288635687,4.515915686562412,4.733171489544603
2021-04-30,4.697878199757459,8.388406466018004,2.997767288635687,4.512353008998469,4.736521003308297
2021-05-31,4.742342385915136,8.412924190342451,2.997767288635687,4.538554542867596,4.741669499163046
2021-06-30,4.7542604985157135,8.367686761658021,2.997767288635687,4.560990272305006,4.74714689702613
2021-07-31,4.742031234651615,8.422257104717776,2.997767288635687,4.5794661255581355,4.751844935509565
2021-08-31,4.717815214307087,8.321406913560255,2.997767288635687,4.4896396939836425,4.757369138000709
2021-09-30,4.696207160246555,8.317794718048216,2.997767288635687,4.481377980101222,4.761281841654173
2021-10-31,4.732316259802593,8.536075790256897,2.997767288635687,4.519839139028427,4.765321552269975
2021-11-30,4.679894286544396,8.464693300875243,2.997767288635687,4.4431854271743365,4.7648001164575255
2021-12-31,4.703538454355061,8.56443876445039,2.997767288635687,4.440312394901947,4.765523941318546
2022-01-31,4.717494526521498,8.557329027841574,2.997767288635687,4.4856163423072895,4.768655818372633
2022-02-28,4.722149277134061,8.560177997236982,2.997767288635687,4.503158713749935,4.772843951657681
2022-03-31,4.7256320510250704,8.575673262339668,2.997767288635687,4.52068125382658,4.776079966656239
2022-04-30,4.708825284927389,8.55808172220199,2.997767288635687,4.517464573504553,4.7794461816596225
2022-05-31,4.75012394237597,8.580646797031033,2.997767288635687,4.541121487971569,4.784484522164201
2022-06-30,4.7611935714922975,8.543402970134467,2.997767288635687,4.561378322359855,4.789826404929739
2022-07-31,4.7498349428337026,8.592448526736163,2.997767288635687,4.578059852620548,4.794438964518754
2022-08-31,4.7273429281270785,8.506642695070797,2.997767288635687,4.4969571118707385,4.799823413384543
2022-09-30,4.707273211352959,8.505233310041476,2.997767288635687,4.489497752443781,4.803701998872887
2022-10-31,4.740811603983227,8.696776119117583,2.997767288635687,4.524223671605154,4.807699302141811
2022-11-30,4.692121696364281,8.636488633417486,2.997767288635687,4.455014353022156,4.807434356516485
2022-12-31,4.71408257030464,8.724974794007391,2.997767288635687,4.452420341577315,4.808333075241486
2023-01-31,4.727045070994194,8.720566294327202,2.997767288635687,4.493324496812642,4.811482051026416
2023-02-28,4.731368437003304,8.724818642506287,2.997767288635687,4.509163202395307,4.8156180682259
2023-03-31,4.734603262563488,8.74006213556637,2.997767288635687,4.524984002578555,4.818864357692786
2023-04-30,4.71899301674846,8.726545059783616,2.997767288635687,4.522079717217781,4.822232315334455
2023-05-31,4.757351508254566,8.747934653255738,2.997767288635687,4.543439138574375,4.827162826951722
2023-06-30,4.7676330597786825,8.717334093923965,2.997767288635687,4.5617286860829225,4.832376990225534
2023-07-31,4.757083083391091,8.761742627531179,2.997767288635687,4.576790152962203,4.836909621619414
2023-08-31,4.7361923375804444,8.688928271710312,2.997767288635687,4.503563882678094,4.842163561711099
2023-09-30,4.7175514395956,8.689477612630792,2.997767288635687,4.496828955294694,4.846010315067934
2023-10-31,4.748702141054561,8.857755492314817,2.997767288635687,4.528182390688685,4.849968006832997
2023-11-30,4.703478602973212,8.807123577041413,2.997767288635687,4.465694486804259,4.849942747558046
2023-12-31,4.723876021401566,8.885816881621224,2.997767288635687,4.463352398467615,4.8510048997058774
2024-01-31,4.73591568572279,8.883759175536353,2.997767288635687,4.500284056994977,4.854169853430884
2024-02-29,4.7399312593172755,8.8892301290545,2.997767288635687,4.51458455196252,4.858257169440726
2024-03-31,4.742935788675852,8.904255410047343,2.997767288635687,4.528868880452765,4.861513060049141
2024-04-30,4.728436879546674,8.89427984673047,2.997767288635687,4.526246651131732,4.864882646125679
2024-05-31,4.764064523676656,8.914647779470727,2.997767288635687,4.545531705458011,4.869712394697792
2024-06-30,4.773614103037643,8.88982197034246,2.997767288635687,4.562045023464937,4.874807207720261
2024-07-31,4.763815208723538,8.93019969310371,2.997767288635687,4.57564376296968,4.879265148477097
2024-08-31,4.744411733035942,8.868678484531609,2.997767288635687,4.509529022454773,4.884397131810838
